WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((275157.6981 2103658.8738,274957.6981 2103658.8738,274857.6981 2103832.0788,274957.6981 2104005.2839,275157.6981 2104005.2839,275257.6981 2103832.0788,275157.6981 2103658.8738)))","2","0",52100.00000000000,115600.00000000000,144050.00000000000,173350.00000000000,115600.00000000000
"MULTIPOLYGON (((279657.6981 2117342.0751,279457.6981 2117342.0751,279357.6981 2117515.2802,279457.6981 2117688.4853,279657.6981 2117688.4853,279757.6981 2117515.2802,279657.6981 2117342.0751)))","2","1",13800.00000000000,35500.00000000000,43250.00000000000,53100.00000000000,35500.00000000000
"MULTIPOLYGON (((275157.6981 2131025.2765,274957.6981 2131025.2765,274857.6981 2131198.4816,274957.6981 2131371.6867,275157.6981 2131371.6867,275257.6981 2131198.4816,275157.6981 2131025.2765)))","1","2",28600.00000000000,63500.00000000000,84100.00000000000,104800.00000000000,65300.00000000000
"MULTIPOLYGON (((276057.6981 2126002.3291,275857.6981 2126002.3291,275757.6981 2126175.5343,275857.6981 2126348.7393,276057.6981 2126348.7393,276157.6981 2126175.5343,276057.6981 2126002.3291)))","5","3",43580.00000000000,84640.00000000000,111880.00000000000,145400.00000000000,84640.00000000000
"MULTIPOLYGON (((272457.6981 2119420.5361,272257.6981 2119420.5361,272157.6981 2119593.7412,272257.6981 2119766.9463,272457.6981 2119766.9463,272557.6981 2119593.7412,272457.6981 2119420.5361)))","3","4",55366.66666670000,100666.66666700000,128833.33333300000,152033.33333299999,100666.66666700000
"MULTIPOLYGON (((285057.6981 2119420.5361,284857.6981 2119420.5361,284757.6981 2119593.7412,284857.6981 2119766.9463,285057.6981 2119766.9463,285157.6981 2119593.7412,285057.6981 2119420.5361)))","2","5",29300.00000000000,61300.00000000000,67500.00000000000,124250.00000000000,61300.00000000000
"MULTIPOLYGON (((275757.6981 2113011.9481,275557.6981 2113011.9481,275457.6981 2113185.1532,275557.6981 2113358.3583,275757.6981 2113358.3583,275857.6981 2113185.1532,275757.6981 2113011.9481)))","1","6",39400.00000000000,78600.00000000000,94400.00000000000,118000.00000000000,78600.00000000000
"MULTIPOLYGON (((272457.6981 2106603.3601,272257.6981 2106603.3601,272157.6981 2106776.5652,272257.6981 2106949.7703,272457.6981 2106949.7703,272557.6981 2106776.5652,272457.6981 2106603.3601)))","1","7",60100.00000000000,133400.00000000000,141500.00000000000,172000.00000000000,134600.00000000000
"MULTIPOLYGON (((278757.6981 2106430.155,278557.6981 2106430.155,278457.6981 2106603.3601,278557.6981 2106776.5652,278757.6981 2106776.5652,278857.6981 2106603.3601,278757.6981 2106430.155)))","2","8",35100.00000000000,71300.00000000000,86950.00000000000,109050.00000000000,71300.00000000000
"MULTIPOLYGON (((272457.6981 2093786.1842,272257.6981 2093786.1842,272157.6981 2093959.3892,272257.6981 2094132.5943,272457.6981 2094132.5943,272557.6981 2093959.3892,272457.6981 2093786.1842)))","1","9",68400.00000000000,151800.00000000000,189800.00000000000,227700.00000000000,151800.00000000000
"MULTIPOLYGON (((271557.6981 2092920.1587,271357.6981 2092920.1587,271257.6981 2093093.3638,271357.6981 2093266.5689,271557.6981 2093266.5689,271657.6981 2093093.3638,271557.6981 2092920.1587)))","3","10",152966.66666700001,308133.33333300002,368733.33333300002,442800.00000000000,308266.66666699998
"MULTIPOLYGON (((271557.6981 2096037.8502,271357.6981 2096037.8502,271257.6981 2096211.0553,271357.6981 2096384.2604,271557.6981 2096384.2604,271657.6981 2096211.0553,271557.6981 2096037.8502)))","7","11",64585.71428570000,124371.42857100000,208885.71428600000,246800.00000000000,124371.42857100000
"MULTIPOLYGON (((268857.6981 2098635.9264,268657.6981 2098635.9264,268557.6981 2098809.1315,268657.6981 2098982.3365,268857.6981 2098982.3365,268957.6981 2098809.1315,268857.6981 2098635.9264)))","2","12",270600.00000000000,538650.00000000000,673300.00000000000,808050.00000000000,564600.00000000000
"MULTIPOLYGON (((271557.6981 2098809.1315,271357.6981 2098809.1315,271257.6981 2098982.3365,271357.6981 2099155.5417,271557.6981 2099155.5417,271657.6981 2098982.3365,271557.6981 2098809.1315)))","4","13",57200.00000000000,123425.00000000000,158550.00000000000,186425.00000000000,130825.00000000000
"MULTIPOLYGON (((274557.6981 2101580.4128,274357.6981 2101580.4128,274257.6981 2101753.6178,274357.6981 2101926.8229,274557.6981 2101926.8229,274657.6981 2101753.6178,274557.6981 2101580.4128)))","1","14",13800.00000000000,46900.00000000000,74300.00000000000,96900.00000000000,74300.00000000000
"MULTIPOLYGON (((271557.6981 2101580.4128,271357.6981 2101580.4128,271257.6981 2101753.6178,271357.6981 2101926.8229,271557.6981 2101926.8229,271657.6981 2101753.6178,271557.6981 2101580.4128)))","2","15",59000.00000000000,140200.00000000000,154200.00000000000,171900.00000000000,140200.00000000000
"MULTIPOLYGON (((271557.6981 2104351.6941,271357.6981 2104351.6941,271257.6981 2104524.8992,271357.6981 2104698.1042,271557.6981 2104698.1042,271657.6981 2104524.8992,271557.6981 2104351.6941)))","1","16",83600.00000000000,185400.00000000000,222200.00000000000,329500.00000000000,196400.00000000000
"MULTIPOLYGON (((274557.6981 2104351.6941,274357.6981 2104351.6941,274257.6981 2104524.8992,274357.6981 2104698.1042,274557.6981 2104698.1042,274657.6981 2104524.8992,274557.6981 2104351.6941)))","3","17",63566.66666670000,132300.00000000000,169700.00000000000,214033.33333299999,133900.00000000000
"MULTIPOLYGON (((277257.6981 2104524.8992,277057.6981 2104524.8992,276957.6981 2104698.1042,277057.6981 2104871.3093,277257.6981 2104871.3093,277357.6981 2104698.1042,277257.6981 2104524.8992)))","1","18",23000.00000000000,50900.00000000000,55200.00000000000,74100.00000000000,51600.00000000000
"MULTIPOLYGON (((280257.6981 2104524.8992,280057.6981 2104524.8992,279957.6981 2104698.1042,280057.6981 2104871.3093,280257.6981 2104871.3093,280357.6981 2104698.1042,280257.6981 2104524.8992)))","1","19",13700.00000000000,34800.00000000000,42100.00000000000,52200.00000000000,39200.00000000000
"MULTIPOLYGON (((283257.6981 2107296.1805,283057.6981 2107296.1805,282957.6981 2107469.3855,283057.6981 2107642.5906,283257.6981 2107642.5906,283357.6981 2107469.3855,283257.6981 2107296.1805)))","1","20",10100.00000000000,26600.00000000000,33200.00000000000,47200.00000000000,29000.00000000000
"MULTIPOLYGON (((280257.6981 2107296.1805,280057.6981 2107296.1805,279957.6981 2107469.3855,280057.6981 2107642.5906,280257.6981 2107642.5906,280357.6981 2107469.3855,280257.6981 2107296.1805)))","5","21",47440.00000000000,83900.00000000000,101820.00000000000,125720.00000000000,84680.00000000000
"MULTIPOLYGON (((277257.6981 2107296.1805,277057.6981 2107296.1805,276957.6981 2107469.3855,277057.6981 2107642.5906,277257.6981 2107642.5906,277357.6981 2107469.3855,277257.6981 2107296.1805)))","1","22",14400.00000000000,36500.00000000000,44400.00000000000,56400.00000000000,42100.00000000000
"MULTIPOLYGON (((274557.6981 2107469.3855,274357.6981 2107469.3855,274257.6981 2107642.5906,274357.6981 2107815.7957,274557.6981 2107815.7957,274657.6981 2107642.5906,274557.6981 2107469.3855)))","2","23",20600.00000000000,49350.00000000000,59150.00000000000,74000.00000000000,50450.00000000000
"MULTIPOLYGON (((271557.6981 2107469.3855,271357.6981 2107469.3855,271257.6981 2107642.5906,271357.6981 2107815.7957,271557.6981 2107815.7957,271657.6981 2107642.5906,271557.6981 2107469.3855)))","3","24",94233.33333330000,157166.66666700001,190766.66666700001,237800.00000000000,161833.33333299999
"MULTIPOLYGON (((271557.6981 2110240.6668,271357.6981 2110240.6668,271257.6981 2110413.8719,271357.6981 2110587.077,271557.6981 2110587.077,271657.6981 2110413.8719,271557.6981 2110240.6668)))","3","25",125866.66666700000,209833.33333299999,241833.33333299999,309933.33333300002,209833.33333299999
"MULTIPOLYGON (((274557.6981 2110240.6668,274357.6981 2110240.6668,274257.6981 2110413.8719,274357.6981 2110587.077,274557.6981 2110587.077,274657.6981 2110413.8719,274557.6981 2110240.6668)))","2","26",87950.00000000000,146550.00000000000,183050.00000000000,223250.00000000000,146550.00000000000
"MULTIPOLYGON (((277257.6981 2110067.4617,277057.6981 2110067.4617,276957.6981 2110240.6668,277057.6981 2110413.8719,277257.6981 2110413.8719,277357.6981 2110240.6668,277257.6981 2110067.4617)))","4","27",22450.00000000000,50325.00000000000,64825.00000000000,86550.00000000000,56575.00000000000
"MULTIPOLYGON (((280257.6981 2110067.4617,280057.6981 2110067.4617,279957.6981 2110240.6668,280057.6981 2110413.8719,280257.6981 2110413.8719,280357.6981 2110240.6668,280257.6981 2110067.4617)))","2","28",31400.00000000000,61900.00000000000,78600.00000000000,115500.00000000000,72500.00000000000
"MULTIPOLYGON (((280257.6981 2113185.1532,280057.6981 2113185.1532,279957.6981 2113358.3583,280057.6981 2113531.5634,280257.6981 2113531.5634,280357.6981 2113358.3583,280257.6981 2113185.1532)))","3","29",44200.00000000000,80200.00000000000,98033.33333330000,125133.33333300000,80200.00000000000
"MULTIPOLYGON (((277257.6981 2113185.1532,277057.6981 2113185.1532,276957.6981 2113358.3583,277057.6981 2113531.5634,277257.6981 2113531.5634,277357.6981 2113358.3583,277257.6981 2113185.1532)))","3","30",42466.66666670000,77600.00000000000,87900.00000000000,106400.00000000000,78100.00000000000
"MULTIPOLYGON (((274557.6981 2113011.9481,274357.6981 2113011.9481,274257.6981 2113185.1532,274357.6981 2113358.3583,274557.6981 2113358.3583,274657.6981 2113185.1532,274557.6981 2113011.9481)))","3","31",36666.66666670000,75300.00000000000,88566.66666670000,111466.66666700000,80866.66666670000
"MULTIPOLYGON (((271557.6981 2113011.9481,271357.6981 2113011.9481,271257.6981 2113185.1532,271357.6981 2113358.3583,271557.6981 2113358.3583,271657.6981 2113185.1532,271557.6981 2113011.9481)))","1","32",134100.00000000000,223600.00000000000,246000.00000000000,335300.00000000000,223600.00000000000
"MULTIPOLYGON (((271557.6981 2115783.2294,271357.6981 2115783.2294,271257.6981 2115956.4345,271357.6981 2116129.6396,271557.6981 2116129.6396,271657.6981 2115956.4345,271557.6981 2115783.2294)))","5","33",76720.00000000000,127940.00000000000,158620.00000000000,196960.00000000000,127940.00000000000
"MULTIPOLYGON (((274557.6981 2115783.2294,274357.6981 2115783.2294,274257.6981 2115956.4345,274357.6981 2116129.6396,274557.6981 2116129.6396,274657.6981 2115956.4345,274557.6981 2115783.2294)))","4","34",35375.00000000000,69425.00000000000,84625.00000000000,121775.00000000000,71075.00000000000
"MULTIPOLYGON (((277257.6981 2115956.4345,277057.6981 2115956.4345,276957.6981 2116129.6396,277057.6981 2116302.8447,277257.6981 2116302.8447,277357.6981 2116129.6396,277257.6981 2115956.4345)))","2","35",40850.00000000000,74300.00000000000,93200.00000000000,114950.00000000000,79350.00000000000
"MULTIPOLYGON (((282957.6981 2115783.2294,282757.6981 2115783.2294,282657.6981 2115956.4345,282757.6981 2116129.6396,282957.6981 2116129.6396,283057.6981 2115956.4345,282957.6981 2115783.2294)))","1","36",40200.00000000000,80200.00000000000,96200.00000000000,120400.00000000000,80200.00000000000
"MULTIPOLYGON (((282957.6981 2118900.9209,282757.6981 2118900.9209,282657.6981 2119074.1259,282757.6981 2119247.331,282957.6981 2119247.331,283057.6981 2119074.1259,282957.6981 2118900.9209)))","2","37",40200.00000000000,75600.00000000000,89500.00000000000,112050.00000000000,75600.00000000000
"MULTIPOLYGON (((277257.6981 2118727.7157,277057.6981 2118727.7157,276957.6981 2118900.9209,277057.6981 2119074.1259,277257.6981 2119074.1259,277357.6981 2118900.9209,277257.6981 2118727.7157)))","3","38",24766.66666670000,51833.33333330000,58900.00000000000,79833.33333330000,51833.33333330000
"MULTIPOLYGON (((274557.6981 2118900.9209,274357.6981 2118900.9209,274257.6981 2119074.1259,274357.6981 2119247.331,274557.6981 2119247.331,274657.6981 2119074.1259,274557.6981 2118900.9209)))","3","39",32766.66666670000,69233.33333330000,88166.66666670000,128533.33333300000,72033.33333330000
"MULTIPOLYGON (((271557.6981 2118900.9209,271357.6981 2118900.9209,271257.6981 2119074.1259,271357.6981 2119247.331,271557.6981 2119247.331,271657.6981 2119074.1259,271557.6981 2118900.9209)))","2","40",30050.00000000000,61100.00000000000,70900.00000000000,97050.00000000000,61100.00000000000
"MULTIPOLYGON (((268857.6981 2118727.7157,268657.6981 2118727.7157,268557.6981 2118900.9209,268657.6981 2119074.1259,268857.6981 2119074.1259,268957.6981 2118900.9209,268857.6981 2118727.7157)))","2","41",15300.00000000000,39250.00000000000,50800.00000000000,62200.00000000000,39250.00000000000
"MULTIPOLYGON (((268857.6981 2121498.997,268657.6981 2121498.997,268557.6981 2121672.2022,268657.6981 2121845.4072,268857.6981 2121845.4072,268957.6981 2121672.2022,268857.6981 2121498.997)))","2","42",19900.00000000000,46450.00000000000,58050.00000000000,69700.00000000000,46450.00000000000
"MULTIPOLYGON (((274557.6981 2121672.2022,274357.6981 2121672.2022,274257.6981 2121845.4072,274357.6981 2122018.6123,274557.6981 2122018.6123,274657.6981 2121845.4072,274557.6981 2121672.2022)))","6","43",33150.00000000000,66766.66666670000,87200.00000000000,107583.33333300000,66766.66666670000
"MULTIPOLYGON (((277257.6981 2121498.997,277057.6981 2121498.997,276957.6981 2121672.2022,277057.6981 2121845.4072,277257.6981 2121845.4072,277357.6981 2121672.2022,277257.6981 2121498.997)))","1","44",23600.00000000000,52700.00000000000,65800.00000000000,82200.00000000000,52700.00000000000
"MULTIPOLYGON (((285957.6981 2121672.2022,285757.6981 2121672.2022,285657.6981 2121845.4072,285757.6981 2122018.6123,285957.6981 2122018.6123,286057.6981 2121845.4072,285957.6981 2121672.2022)))","2","45",35750.00000000000,71350.00000000000,89250.00000000000,132950.00000000000,71350.00000000000
"MULTIPOLYGON (((277257.6981 2124616.6885,277057.6981 2124616.6885,276957.6981 2124789.8936,277057.6981 2124963.0987,277257.6981 2124963.0987,277357.6981 2124789.8936,277257.6981 2124616.6885)))","4","46",48275.00000000000,90250.00000000000,117100.00000000000,144125.00000000000,90200.00000000000
"MULTIPOLYGON (((274557.6981 2124443.4834,274357.6981 2124443.4834,274257.6981 2124616.6885,274357.6981 2124789.8936,274557.6981 2124789.8936,274657.6981 2124616.6885,274557.6981 2124443.4834)))","1","47",45300.00000000000,90600.00000000000,113300.00000000000,135900.00000000000,90600.00000000000
"MULTIPOLYGON (((271557.6981 2124443.4834,271357.6981 2124443.4834,271257.6981 2124616.6885,271357.6981 2124789.8936,271557.6981 2124789.8936,271657.6981 2124616.6885,271557.6981 2124443.4834)))","3","48",37666.66666670000,74966.66666670000,89966.66666670000,104900.00000000000,74966.66666670000
"MULTIPOLYGON (((271557.6981 2127214.7647,271357.6981 2127214.7647,271257.6981 2127387.9698,271357.6981 2127561.1749,271557.6981 2127561.1749,271657.6981 2127387.9698,271557.6981 2127214.7647)))","1","49",23700.00000000000,52400.00000000000,65700.00000000000,78800.00000000000,52400.00000000000
"MULTIPOLYGON (((274557.6981 2127214.7647,274357.6981 2127214.7647,274257.6981 2127387.9698,274357.6981 2127561.1749,274557.6981 2127561.1749,274657.6981 2127387.9698,274557.6981 2127214.7647)))","8","50",33550.00000000000,65462.50000000000,95662.50000000000,129000.00000000000,65462.50000000000
"MULTIPOLYGON (((274557.6981 2130332.4562,274357.6981 2130332.4562,274257.6981 2130505.6612,274357.6981 2130678.8664,274557.6981 2130678.8664,274657.6981 2130505.6612,274557.6981 2130332.4562)))","3","51",32266.66666670000,71500.00000000000,100166.66666700000,127133.33333300000,71533.33333330000
"MULTIPOLYGON (((268857.6981 2130159.2511,268657.6981 2130159.2511,268557.6981 2130332.4562,268657.6981 2130505.6612,268857.6981 2130505.6612,268957.6981 2130332.4562,268857.6981 2130159.2511)))","1","52",8100.00000000000,21200.00000000000,26500.00000000000,33100.00000000000,21200.00000000000
"MULTIPOLYGON (((276057.6981 2130852.0714,275857.6981 2130852.0714,275757.6981 2131025.2765,275857.6981 2131198.4816,276057.6981 2131198.4816,276157.6981 2131025.2765,276057.6981 2130852.0714)))","1","53",28600.00000000000,63500.00000000000,84100.00000000000,104800.00000000000,65300.00000000000
"MULTIPOLYGON (((274557.6981 2131025.2765,274357.6981 2131025.2765,274257.6981 2131198.4816,274357.6981 2131371.6867,274557.6981 2131371.6867,274657.6981 2131198.4816,274557.6981 2131025.2765)))","2","54",19850.00000000000,29100.00000000000,36150.00000000000,48600.00000000000,29100.00000000000
