WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((275157.6981 2103658.8738,274957.6981 2103658.8738,274857.6981 2103832.0788,274957.6981 2104005.2839,275157.6981 2104005.2839,275257.6981 2103832.0788,275157.6981 2103658.8738)))","2","0",60200.00000000000,133550.00000000000,166400.00000000000,200200.00000000000,133550.00000000000
"MULTIPOLYGON (((279657.6981 2117342.0751,279457.6981 2117342.0751,279357.6981 2117515.2802,279457.6981 2117688.4853,279657.6981 2117688.4853,279757.6981 2117515.2802,279657.6981 2117342.0751)))","2","1",17100.00000000000,43800.00000000000,53450.00000000000,65500.00000000000,43800.00000000000
"MULTIPOLYGON (((275157.6981 2131025.2765,274957.6981 2131025.2765,274857.6981 2131198.4816,274957.6981 2131371.6867,275157.6981 2131371.6867,275257.6981 2131198.4816,275157.6981 2131025.2765)))","1","2",39400.00000000000,87400.00000000000,115700.00000000000,144100.00000000000,89800.00000000000
"MULTIPOLYGON (((276057.6981 2126002.3291,275857.6981 2126002.3291,275757.6981 2126175.5343,275857.6981 2126348.7393,276057.6981 2126348.7393,276157.6981 2126175.5343,276057.6981 2126002.3291)))","5","3",61540.00000000000,120020.00000000000,158940.00000000000,206560.00000000000,120020.00000000000
"MULTIPOLYGON (((272457.6981 2119420.5361,272257.6981 2119420.5361,272157.6981 2119593.7412,272257.6981 2119766.9463,272457.6981 2119766.9463,272557.6981 2119593.7412,272457.6981 2119420.5361)))","3","4",71866.66666670000,130766.66666700000,168033.33333299999,198766.66666700001,130766.66666700000
"MULTIPOLYGON (((285057.6981 2119420.5361,284857.6981 2119420.5361,284757.6981 2119593.7412,284857.6981 2119766.9463,285057.6981 2119766.9463,285157.6981 2119593.7412,285057.6981 2119420.5361)))","2","5",39500.00000000000,83400.00000000000,91750.00000000000,169350.00000000000,83400.00000000000
"MULTIPOLYGON (((275757.6981 2113011.9481,275557.6981 2113011.9481,275457.6981 2113185.1532,275557.6981 2113358.3583,275757.6981 2113358.3583,275857.6981 2113185.1532,275757.6981 2113011.9481)))","1","6",47700.00000000000,94900.00000000000,114000.00000000000,142500.00000000000,94900.00000000000
"MULTIPOLYGON (((272457.6981 2106603.3601,272257.6981 2106603.3601,272157.6981 2106776.5652,272257.6981 2106949.7703,272457.6981 2106949.7703,272557.6981 2106776.5652,272457.6981 2106603.3601)))","1","7",72600.00000000000,161100.00000000000,170900.00000000000,207700.00000000000,162600.00000000000
"MULTIPOLYGON (((278757.6981 2106430.155,278557.6981 2106430.155,278457.6981 2106603.3601,278557.6981 2106776.5652,278757.6981 2106776.5652,278857.6981 2106603.3601,278757.6981 2106430.155)))","2","8",43600.00000000000,90150.00000000000,110350.00000000000,138300.00000000000,90150.00000000000
"MULTIPOLYGON (((272457.6981 2093786.1842,272257.6981 2093786.1842,272157.6981 2093959.3892,272257.6981 2094132.5943,272457.6981 2094132.5943,272557.6981 2093959.3892,272457.6981 2093786.1842)))","1","9",82800.00000000000,183700.00000000000,229700.00000000000,275600.00000000000,183700.00000000000
"MULTIPOLYGON (((271557.6981 2092920.1587,271357.6981 2092920.1587,271257.6981 2093093.3638,271357.6981 2093266.5689,271557.6981 2093266.5689,271657.6981 2093093.3638,271557.6981 2092920.1587)))","3","10",178000.00000000000,363133.33333300002,430233.33333300002,516733.33333300002,363300.00000000000
"MULTIPOLYGON (((271557.6981 2096037.8502,271357.6981 2096037.8502,271257.6981 2096211.0553,271357.6981 2096384.2604,271557.6981 2096384.2604,271657.6981 2096211.0553,271557.6981 2096037.8502)))","7","11",85685.71428570000,164585.71428600000,277114.28571400000,287800.00000000000,164585.71428600000
"MULTIPOLYGON (((268857.6981 2098635.9264,268657.6981 2098635.9264,268557.6981 2098809.1315,268657.6981 2098982.3365,268857.6981 2098982.3365,268957.6981 2098809.1315,268857.6981 2098635.9264)))","2","12",321650.00000000000,638950.00000000000,798750.00000000000,958500.00000000000,668950.00000000000
"MULTIPOLYGON (((271557.6981 2098809.1315,271357.6981 2098809.1315,271257.6981 2098982.3365,271357.6981 2099155.5417,271557.6981 2099155.5417,271657.6981 2098982.3365,271557.6981 2098809.1315)))","4","13",68325.00000000000,147225.00000000000,188325.00000000000,221850.00000000000,156350.00000000000
"MULTIPOLYGON (((274557.6981 2101580.4128,274357.6981 2101580.4128,274257.6981 2101753.6178,274357.6981 2101926.8229,274557.6981 2101926.8229,274657.6981 2101753.6178,274557.6981 2101580.4128)))","1","14",16800.00000000000,56800.00000000000,89900.00000000000,117300.00000000000,89900.00000000000
"MULTIPOLYGON (((271557.6981 2101580.4128,271357.6981 2101580.4128,271257.6981 2101753.6178,271357.6981 2101926.8229,271557.6981 2101926.8229,271657.6981 2101753.6178,271557.6981 2101580.4128)))","2","15",70250.00000000000,166450.00000000000,183050.00000000000,204000.00000000000,166450.00000000000
