WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((275157.6981 2103658.8738,274957.6981 2103658.8738,274857.6981 2103832.0788,274957.6981 2104005.2839,275157.6981 2104005.2839,275257.6981 2103832.0788,275157.6981 2103658.8738)))","2","0",42550.00000000000,94400.00000000000,117650.00000000000,141550.00000000000,94400.00000000000
"MULTIPOLYGON (((279657.6981 2117342.0751,279457.6981 2117342.0751,279357.6981 2117515.2802,279457.6981 2117688.4853,279657.6981 2117688.4853,279757.6981 2117515.2802,279657.6981 2117342.0751)))","2","1",12550.00000000000,32250.00000000000,39350.00000000000,48300.00000000000,32250.00000000000
"MULTIPOLYGON (((275157.6981 2131025.2765,274957.6981 2131025.2765,274857.6981 2131198.4816,274957.6981 2131371.6867,275157.6981 2131371.6867,275257.6981 2131198.4816,275157.6981 2131025.2765)))","1","2",23800.00000000000,52900.00000000000,70100.00000000000,87300.00000000000,54400.00000000000
"MULTIPOLYGON (((276057.6981 2126002.3291,275857.6981 2126002.3291,275757.6981 2126175.5343,275857.6981 2126348.7393,276057.6981 2126348.7393,276157.6981 2126175.5343,276057.6981 2126002.3291)))","5","3",35600.00000000000,69220.00000000000,91540.00000000000,118900.00000000000,69220.00000000000
"MULTIPOLYGON (((272457.6981 2119420.5361,272257.6981 2119420.5361,272157.6981 2119593.7412,272257.6981 2119766.9463,272457.6981 2119766.9463,272557.6981 2119593.7412,272457.6981 2119420.5361)))","3","4",44766.66666670000,81100.00000000000,104533.33333300000,123666.66666700000,81100.00000000000
"MULTIPOLYGON (((285057.6981 2119420.5361,284857.6981 2119420.5361,284757.6981 2119593.7412,284857.6981 2119766.9463,285057.6981 2119766.9463,285157.6981 2119593.7412,285057.6981 2119420.5361)))","2","5",26150.00000000000,54650.00000000000,60200.00000000000,110750.00000000000,54650.00000000000
"MULTIPOLYGON (((275757.6981 2113011.9481,275557.6981 2113011.9481,275457.6981 2113185.1532,275557.6981 2113358.3583,275757.6981 2113358.3583,275857.6981 2113185.1532,275757.6981 2113011.9481)))","1","6",31500.00000000000,62900.00000000000,75500.00000000000,94400.00000000000,62900.00000000000
"MULTIPOLYGON (((272457.6981 2106603.3601,272257.6981 2106603.3601,272157.6981 2106776.5652,272257.6981 2106949.7703,272457.6981 2106949.7703,272557.6981 2106776.5652,272457.6981 2106603.3601)))","1","7",52300.00000000000,116000.00000000000,123000.00000000000,149600.00000000000,117000.00000000000
"MULTIPOLYGON (((278757.6981 2106430.155,278557.6981 2106430.155,278457.6981 2106603.3601,278557.6981 2106776.5652,278757.6981 2106776.5652,278857.6981 2106603.3601,278757.6981 2106430.155)))","2","8",28700.00000000000,58650.00000000000,71550.00000000000,89750.00000000000,58650.00000000000
"MULTIPOLYGON (((272457.6981 2093786.1842,272257.6981 2093786.1842,272157.6981 2093959.3892,272257.6981 2094132.5943,272457.6981 2094132.5943,272557.6981 2093959.3892,272457.6981 2093786.1842)))","1","9",59500.00000000000,132000.00000000000,165000.00000000000,198000.00000000000,132000.00000000000
"MULTIPOLYGON (((271557.6981 2092920.1587,271357.6981 2092920.1587,271257.6981 2093093.3638,271357.6981 2093266.5689,271557.6981 2093266.5689,271657.6981 2093093.3638,271557.6981 2092920.1587)))","3","10",111566.66666700000,228266.66666700001,271066.66666699998,325533.33333300002,228366.66666700001
"MULTIPOLYGON (((271557.6981 2096037.8502,271357.6981 2096037.8502,271257.6981 2096211.0553,271357.6981 2096384.2604,271557.6981 2096384.2604,271657.6981 2096211.0553,271557.6981 2096037.8502)))","7","11",59442.85714290000,114485.71428600000,192685.71428600000,227242.85714300000,114485.71428600000
"MULTIPOLYGON (((268857.6981 2098635.9264,268657.6981 2098635.9264,268557.6981 2098809.1315,268657.6981 2098982.3365,268857.6981 2098982.3365,268957.6981 2098809.1315,268857.6981 2098635.9264)))","2","12",235300.00000000000,518400.00000000000,585450.00000000000,702650.00000000000,490950.00000000000
"MULTIPOLYGON (((271557.6981 2098809.1315,271357.6981 2098809.1315,271257.6981 2098982.3365,271357.6981 2099155.5417,271557.6981 2099155.5417,271657.6981 2098982.3365,271557.6981 2098809.1315)))","4","13",47750.00000000000,102600.00000000000,131150.00000000000,154175.00000000000,108650.00000000000
"MULTIPOLYGON (((274557.6981 2101580.4128,274357.6981 2101580.4128,274257.6981 2101753.6178,274357.6981 2101926.8229,274557.6981 2101926.8229,274657.6981 2101753.6178,274557.6981 2101580.4128)))","1","14",12500.00000000000,42600.00000000000,67500.00000000000,88100.00000000000,67500.00000000000
"MULTIPOLYGON (((271557.6981 2101580.4128,271357.6981 2101580.4128,271257.6981 2101753.6178,271357.6981 2101926.8229,271557.6981 2101926.8229,271657.6981 2101753.6178,271557.6981 2101580.4128)))","2","15",51400.00000000000,121450.00000000000,133600.00000000000,148700.00000000000,121450.00000000000
"MULTIPOLYGON (((271557.6981 2104351.6941,271357.6981 2104351.6941,271257.6981 2104524.8992,271357.6981 2104698.1042,271557.6981 2104698.1042,271657.6981 2104524.8992,271557.6981 2104351.6941)))","1","16",72700.00000000000,161200.00000000000,193200.00000000000,286500.00000000000,170800.00000000000
"MULTIPOLYGON (((274557.6981 2104351.6941,274357.6981 2104351.6941,274257.6981 2104524.8992,274357.6981 2104698.1042,274557.6981 2104698.1042,274657.6981 2104524.8992,274557.6981 2104351.6941)))","3","17",53966.66666670000,112166.66666700000,143633.33333299999,181200.00000000000,113433.33333300000
"MULTIPOLYGON (((277257.6981 2104524.8992,277057.6981 2104524.8992,276957.6981 2104698.1042,277057.6981 2104871.3093,277257.6981 2104871.3093,277357.6981 2104698.1042,277257.6981 2104524.8992)))","1","18",20000.00000000000,44300.00000000000,48000.00000000000,64400.00000000000,44900.00000000000
"MULTIPOLYGON (((280257.6981 2104524.8992,280057.6981 2104524.8992,279957.6981 2104698.1042,280057.6981 2104871.3093,280257.6981 2104871.3093,280357.6981 2104698.1042,280257.6981 2104524.8992)))","1","19",11400.00000000000,29000.00000000000,35100.00000000000,43500.00000000000,32700.00000000000
"MULTIPOLYGON (((283257.6981 2107296.1805,283057.6981 2107296.1805,282957.6981 2107469.3855,283057.6981 2107642.5906,283257.6981 2107642.5906,283357.6981 2107469.3855,283257.6981 2107296.1805)))","1","20",9200.00000000000,24200.00000000000,30200.00000000000,42900.00000000000,26400.00000000000
"MULTIPOLYGON (((280257.6981 2107296.1805,280057.6981 2107296.1805,279957.6981 2107469.3855,280057.6981 2107642.5906,280257.6981 2107642.5906,280357.6981 2107469.3855,280257.6981 2107296.1805)))","5","21",41700.00000000000,73620.00000000000,89360.00000000000,110340.00000000000,74300.00000000000
"MULTIPOLYGON (((277257.6981 2107296.1805,277057.6981 2107296.1805,276957.6981 2107469.3855,277057.6981 2107642.5906,277257.6981 2107642.5906,277357.6981 2107469.3855,277257.6981 2107296.1805)))","1","22",13100.00000000000,33200.00000000000,40400.00000000000,51300.00000000000,38300.00000000000
"MULTIPOLYGON (((274557.6981 2107469.3855,274357.6981 2107469.3855,274257.6981 2107642.5906,274357.6981 2107815.7957,274557.6981 2107815.7957,274657.6981 2107642.5906,274557.6981 2107469.3855)))","2","23",18750.00000000000,44850.00000000000,53750.00000000000,67250.00000000000,45850.00000000000
"MULTIPOLYGON (((271557.6981 2107469.3855,271357.6981 2107469.3855,271257.6981 2107642.5906,271357.6981 2107815.7957,271557.6981 2107815.7957,271657.6981 2107642.5906,271557.6981 2107469.3855)))","3","24",77833.33333330000,129766.66666700000,157500.00000000000,196333.33333299999,133533.33333299999
"MULTIPOLYGON (((271557.6981 2110240.6668,271357.6981 2110240.6668,271257.6981 2110413.8719,271357.6981 2110587.077,271557.6981 2110587.077,271657.6981 2110413.8719,271557.6981 2110240.6668)))","3","25",106400.00000000000,177400.00000000000,204566.66666700001,262833.33333300002,177400.00000000000
"MULTIPOLYGON (((274557.6981 2110240.6668,274357.6981 2110240.6668,274257.6981 2110413.8719,274357.6981 2110587.077,274557.6981 2110587.077,274657.6981 2110413.8719,274557.6981 2110240.6668)))","2","26",70350.00000000000,117200.00000000000,146450.00000000000,178600.00000000000,117200.00000000000
"MULTIPOLYGON (((277257.6981 2110067.4617,277057.6981 2110067.4617,276957.6981 2110240.6668,277057.6981 2110413.8719,277257.6981 2110413.8719,277357.6981 2110240.6668,277257.6981 2110067.4617)))","4","27",19775.00000000000,44075.00000000000,56450.00000000000,75675.00000000000,49425.00000000000
