WKT,Join_Count,TARGET_FID,OPEN_LAND,RESIDENTIA,COMMERCIAL,COMMERC_01,INDUSTRIAL
"MULTIPOLYGON (((275157.6981 2103658.8738,274957.6981 2103658.8738,274857.6981 2103832.0788,274957.6981 2104005.2839,275157.6981 2104005.2839,275257.6981 2103832.0788,275157.6981 2103658.8738)))",2,0,73850,167250,201900,242900,167250
"MULTIPOLYGON (((279657.6981 2117342.0751,279457.6981 2117342.0751,279357.6981 2117515.2802,279457.6981 2117688.4853,279657.6981 2117688.4853,279757.6981 2117515.2802,279657.6981 2117342.0751)))",2,1,22550,56550,66600,81550,56550
"MULTIPOLYGON (((275157.6981 2131025.2765,274957.6981 2131025.2765,274857.6981 2131198.4816,274957.6981 2131371.6867,275157.6981 2131371.6867,275257.6981 2131198.4816,275157.6981 2131025.2765)))",1,2,49300,111800,143400,178600,113500
"MULTIPOLYGON (((276057.6981 2126002.3291,275857.6981 2126002.3291,275757.6981 2126175.5343,275857.6981 2126348.7393,276057.6981 2126348.7393,276157.6981 2126175.5343,276057.6981 2126002.3291)))",5,3,75640,145420,185520,238580,145420
"MULTIPOLYGON (((272457.6981 2119420.5361,272257.6981 2119420.5361,272157.6981 2119593.7412,272257.6981 2119766.9463,272457.6981 2119766.9463,272557.6981 2119593.7412,272457.6981 2119420.5361)))",3,4,86466.66667,153066.6667,193133.3333,231000,153066.6667
"MULTIPOLYGON (((285057.6981 2119420.5361,284857.6981 2119420.5361,284757.6981 2119593.7412,284857.6981 2119766.9463,285057.6981 2119766.9463,285157.6981 2119593.7412,285057.6981 2119420.5361)))",2,5,57700,116950,128800,229000,116950
"MULTIPOLYGON (((275757.6981 2113011.9481,275557.6981 2113011.9481,275457.6981 2113185.1532,275557.6981 2113358.3583,275757.6981 2113358.3583,275857.6981 2113185.1532,275757.6981 2113011.9481)))",1,6,60400,122200,139000,173700,122200
"MULTIPOLYGON (((272457.6981 2106603.3601,272257.6981 2106603.3601,272157.6981 2106776.5652,272257.6981 2106949.7703,272457.6981 2106949.7703,272557.6981 2106776.5652,272457.6981 2106603.3601)))",1,7,91500,199100,219300,252900,199100
"MULTIPOLYGON (((278757.6981 2106430.155,278557.6981 2106430.155,278457.6981 2106603.3601,278557.6981 2106776.5652,278757.6981 2106776.5652,278857.6981 2106603.3601,278757.6981 2106430.155)))",2,8,48150,97850,118500,148500,97850
"MULTIPOLYGON (((272457.6981 2093786.1842,272257.6981 2093786.1842,272157.6981 2093959.3892,272257.6981 2094132.5943,272457.6981 2094132.5943,272557.6981 2093959.3892,272457.6981 2093786.1842)))",1,9,104800,218300,272900,315300,218300
"MULTIPOLYGON (((271557.6981 2092920.1587,271357.6981 2092920.1587,271257.6981 2093093.3638,271357.6981 2093266.5689,271557.6981 2093266.5689,271657.6981 2093093.3638,271557.6981 2092920.1587)))",3,10,195233.3333,404966.6667,474633.3333,552200,404966.6667
"MULTIPOLYGON (((271557.6981 2096037.8502,271357.6981 2096037.8502,271257.6981 2096211.0553,271357.6981 2096384.2604,271557.6981 2096384.2604,271657.6981 2096211.0553,271557.6981 2096037.8502)))",7,11,108171.4286,206500,329171.4286,381528.5714,206500
"MULTIPOLYGON (((268857.6981 2098635.9264,268657.6981 2098635.9264,268557.6981 2098809.1315,268657.6981 2098982.3365,268857.6981 2098982.3365,268957.6981 2098809.1315,268857.6981 2098635.9264)))",2,12,381750,721350,895000,1027100,754350
"MULTIPOLYGON (((271557.6981 2098809.1315,271357.6981 2098809.1315,271257.6981 2098982.3365,271357.6981 2099155.5417,271557.6981 2099155.5417,271657.6981 2098982.3365,271557.6981 2098809.1315)))",4,13,80250,169450,213725,252250,176725
"MULTIPOLYGON (((274557.6981 2101580.4128,274357.6981 2101580.4128,274257.6981 2101753.6178,274357.6981 2101926.8229,274557.6981 2101926.8229,274657.6981 2101753.6178,274557.6981 2101580.4128)))",1,14,26200,79000,121000,157800,116900
"MULTIPOLYGON (((271557.6981 2101580.4128,271357.6981 2101580.4128,271257.6981 2101753.6178,271357.6981 2101926.8229,271557.6981 2101926.8229,271657.6981 2101753.6178,271557.6981 2101580.4128)))",2,15,82000,195000,214550,243750,195000
"MULTIPOLYGON (((271557.6981 2104351.6941,271357.6981 2104351.6941,271257.6981 2104524.8992,271357.6981 2104698.1042,271557.6981 2104698.1042,271657.6981 2104524.8992,271557.6981 2104351.6941)))",1,16,128900,282100,316500,437700,282100
"MULTIPOLYGON (((274557.6981 2104351.6941,274357.6981 2104351.6941,274257.6981 2104524.8992,274357.6981 2104698.1042,274557.6981 2104698.1042,274657.6981 2104524.8992,274557.6981 2104351.6941)))",3,17,98200,204166.6667,257533.3333,329133.3333,204733.3333
"MULTIPOLYGON (((277257.6981 2104524.8992,277057.6981 2104524.8992,276957.6981 2104698.1042,277057.6981 2104871.3093,277257.6981 2104871.3093,277357.6981 2104698.1042,277257.6981 2104524.8992)))",1,18,45200,97000,106600,139800,97100
"MULTIPOLYGON (((280257.6981 2104524.8992,280057.6981 2104524.8992,279957.6981 2104698.1042,280057.6981 2104871.3093,280257.6981 2104871.3093,280357.6981 2104698.1042,280257.6981 2104524.8992)))",1,19,19200,48700,56400,69900,50200
"MULTIPOLYGON (((283257.6981 2107296.1805,283057.6981 2107296.1805,282957.6981 2107469.3855,283057.6981 2107642.5906,283257.6981 2107642.5906,283357.6981 2107469.3855,283257.6981 2107296.1805)))",1,20,16000,42300,49400,70300,42600
"MULTIPOLYGON (((280257.6981 2107296.1805,280057.6981 2107296.1805,279957.6981 2107469.3855,280057.6981 2107642.5906,280257.6981 2107642.5906,280357.6981 2107469.3855,280257.6981 2107296.1805)))",5,21,75520,135840,159180,198460,135840
"MULTIPOLYGON (((277257.6981 2107296.1805,277057.6981 2107296.1805,276957.6981 2107469.3855,277057.6981 2107642.5906,277257.6981 2107642.5906,277357.6981 2107469.3855,277257.6981 2107296.1805)))",1,22,22000,57700,64600,82000,57700
"MULTIPOLYGON (((274557.6981 2107469.3855,274357.6981 2107469.3855,274257.6981 2107642.5906,274357.6981 2107815.7957,274557.6981 2107815.7957,274657.6981 2107642.5906,274557.6981 2107469.3855)))",2,23,36350,84900,94550,113250,84900
