FID,Property_T,Typology,Address,Locality_A,Latitude,longitude,SIZE__sq_f,Rent_INR_,Deposit_IN,RentPSF,DepositPSF
711,1 RK, Apartments,"Gateway of , Apollo Bandar, Colaba",Colaba,18.92194,72.83457,400,45000,150000,112.5,375
712,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
713,1 RK, Apartments,Malad East,Malad East,19.18087,72.85745,225,12000,50000,53.33333333,222.2222222
714,1 RK, Apartments,"Andheri East, Shanti Nagar",Andheri East,19.12011,72.86447,315,13000,40000,41.26984127,126.984127
715,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,350,12000,30000,34.28571429,85.71428571
716,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
717,1 RK, Apartments,"Saraf Chaudhary Nagar, Kandivali East",Kandivali East,19.20824,72.86558,330,14000,50000,42.42424242,151.5151515
718,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,16500,50000,43.42105263,131.5789474
719,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,325,15500,93000,47.69230769,286.1538462
720,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,11800,20000,52.44444444,88.88888889
721,1 RK, Apartments,"Virar East, Virar",Virar East,19.4609,72.81815,280,2500,10000,8.928571429,35.71428571
722,1 RK, Apartments,"Charni Road Railway Station, Girgaon",Charni Road East,18.95175,72.81837,400,45000,150000,112.5,375
723,1 RK, Apartments,Raheja Township,Malad East,19.18021,72.85716,225,12000,30000,53.33333333,133.3333333
724,1 RK, Apartments,"Dattani Park Road, Dattani Park, Thakur Village, Kandivali East",Kandivali East,19.21233,72.86931,410,14000,40000,34.14634146,97.56097561
725,1 RK, Apartments,"poonam nagar, andheri east,  400093",Andheri East,19.11549,72.8727,250,13000,30000,52,120
726,1 RK, Apartments,"The Hub Mall, Cama Industrial Estate, Goregaon East",Goregaon East,19.1548,72.85625,380,16500,50000,43.42105263,131.5789474
727,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,360,12000,30000,33.33333333,83.33333333
728,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
729,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,350,15500,93000,44.28571429,265.7142857
730,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
731,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,11800,20000,52.44444444,88.88888889
732,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
733,1 RK, Apartments,Nariman Point,Nariman Point,18.92557,72.82422,400,45000,150000,112.5,375
734,1 RK, Apartments,Raheja Township,Malad East,19.18021,72.85716,225,12000,30000,53.33333333,133.3333333
735,1 RK, Apartments,"mahakali ,mahakali caves road,  andheri east,  400093",Andheri East,19.11365,72.86974,270,13000,30000,48.14814815,111.1111111
736,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,16000,50000,42.10526316,131.5789474
737,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,260,14000,50000,53.84615385,192.3076923
738,1 RK, Apartments,"B-33,Saraf Chaudhary Nagar,Kandivali East",Kandivali East,19.20951,72.86462,360,12000,30000,33.33333333,83.33333333
739,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
740,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,11500,15000,51.11111111,66.66666667
741,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
742,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,450,45000,200000,100,444.4444444
743,1 RK, Apartments,SRA building malad east,Malad East,19.18087,72.85745,500,12000,50000,24,100
744,1 RK, Apartments,"mahakali caves road, andheri  east,  400093",Andheri East,19.07598,72.87766,300,12500,30000,41.66666667,100
745,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,370,16000,30000,43.24324324,81.08108108
746,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,330,14000,35000,42.42424242,106.0606061
747,1 RK, Apartments,NA,Kandivali East,19.19982,72.84259,350,12000,30000,34.28571429,85.71428571
748,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
749,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,11500,25000,51.11111111,111.1111111
750,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
751,1 RK, Apartments,"Charni Road Railway Station, Girgaon",Charni Road East,18.95175,72.81837,450,45000,200000,100,444.4444444
752,1 RK, Apartments,"4,Shivneri Vasahat Road,Poonam Nagar,Jogeshwari East",Andheri East,19.13449,72.86809,275,11500,20000,41.81818182,72.72727273
753,1 RK, Apartments,Malad East,Malad East,19.18087,72.85745,225,11500,50000,51.11111111,222.2222222
754,1 RK, Apartments,"Dattani Park Road, Dattani Park",Kandivali East,19.21233,72.86931,450,14000,50000,31.11111111,111.1111111
755,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,16000,60000,42.10526316,157.8947368
756,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,360,12000,30000,33.33333333,83.33333333
757,1 RK, Apartments,"poonam nagar,  andheri east,  400093",Andheri East,19.11549,72.8727,250,12000,30000,48,120
758,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
759,1 RK, Apartments,"Shah Housing Society, Malad East",Malad East,19.18393,72.85722,300,11000,50000,36.66666667,166.6666667
760,1 RK, Apartments,Worli,Worli,18.9872,72.82905,400,40000,150000,100,375
761,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,400,14000,50000,35,125
762,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,16000,60000,42.10526316,157.8947368
763,1 RK, Apartments,"poonam nagar, andheri east,  400093",Andheri East,19.11549,72.8727,250,12000,30000,48,120
764,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,350,12000,30000,34.28571429,85.71428571
765,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
766,1 RK, Apartments,"Aarey Powai Road, Mahatma Phule Nagar, Aarey Colony, Goregaon East",Aarey Milk Colony,19.13921,72.8944,340,13000,30000,38.23529412,88.23529412
767,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,10800,20000,48,88.88888889
768,1 RK, Apartments,NA,Malabar Hill,19.07598,72.87766,450,40000,200000,88.88888889,444.4444444
769,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
770,1 RK, Apartments,"mmrda colony, poonam nagar, andheri east,  400093",Andheri East,19.11549,72.8727,250,11500,30000,46,120
771,1 RK, Apartments,GOREGAON E,Goregaon East,19.07598,72.87766,380,16000,20000,42.10526316,52.63157895
772,1 RK, Apartments,thakur complex,Kandivali East,19.19982,72.84259,350,12000,30000,34.28571429,85.71428571
773,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
774,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,330,13500,40000,40.90909091,121.2121212
775,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,10800,25000,48,111.1111111
776,1 RK, Apartments,Malabar Hill,Malabar Hill,18.95427,72.80132,450,40000,200000,88.88888889,444.4444444
777,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
778,1 RK, Apartments,"mmrda colony, poonam nagar ,  andheri east  400093",Andheri East,19.11549,72.8727,255,11000,30000,43.1372549,117.6470588
779,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,16000,50000,42.10526316,131.5789474
780,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,375,12000,30000,32,80
781,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
782,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,330,13000,45000,39.39393939,136.3636364
783,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,10500,20000,46.66666667,88.88888889
784,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,40000,250000,100,625
785,1 RK, Apartments,"poonam nagar, andheri east,  400093",Andheri East,19.11549,72.8727,255,10500,25000,41.17647059,98.03921569
786,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,15000,40000,39.47368421,105.2631579
787,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,260,13000,40000,50,153.8461538
788,1 RK, Apartments,"Jinal Coop Hsg Society, 90 Feet Road, Gokul Garden VWX, Kandivali East",Kandivali East,19.21138,72.86195,350,11500,30000,32.85714286,85.71428571
789,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
790,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
791,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,10500,20000,46.66666667,88.88888889
792,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
793,1 RK, Apartments,Grant Road,Grant Road East,19.07598,72.87766,400,40000,200000,100,500
794,1 RK, Apartments,"13,Aarey Colony,Goregaon East",Goregaon East,19.21157,72.82666,380,15000,30000,39.47368421,78.94736842
795,1 RK, Apartments,"Saraf Chaudhary Nagar, Kandivali East",Kandivali East,19.20824,72.86558,330,13000,40000,39.39393939,121.2121212
796,1 RK, Apartments,"Jinal Coop Hsg Society, 90 Feet Road, Gokul Garden VWX, Kandivali East",Kandivali East,19.21138,72.86195,350,11500,30000,32.85714286,85.71428571
797,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
798,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,10300,20000,45.77777778,88.88888889
799,1 RK, Apartments,Grant Road,Grant Road East,18.963,72.81757,400,40000,200000,100,500
800,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,370,13000,50000,35.13513514,135.1351351
801,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,300,15000,20000,50,66.66666667
802,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,360,11500,40000,31.94444444,111.1111111
803,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
804,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
805,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,10300,20000,45.77777778,88.88888889
806,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,40000,250000,100,625
807,1 RK, Apartments,"1-A,Galaxy E Wing,Gokul Garden VWX,Kandivali East",Kandivali East,19.20919,72.86054,410,13000,50000,31.70731707,121.9512195
808,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,15000,25000,39.47368421,65.78947368
809,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,350,11500,40000,32.85714286,114.2857143
810,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
811,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,10000,20000,44.44444444,88.88888889
812,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
813,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
814,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,350,40000,250000,114.2857143,714.2857143
815,1 RK, Apartments,swapnapurti jhula pada,Kandivali East,19.07598,72.87766,250,13000,30000,52,120
816,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,350,11500,30000,32.85714286,85.71428571
817,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,300,15000,25000,50,83.33333333
818,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,14000,30000,50,107.1428571
819,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,9600,20000,42.66666667,88.88888889
820,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
821,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,40000,250000,100,625
822,1 RK, Apartments,GOREGAON[ E],Goregaon East,19.15515,72.86786,300,15000,25000,50,83.33333333
823,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,14000,30000,50,107.1428571
824,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,310,11000,50000,35.48387097,161.2903226
825,1 RK, Apartments,NA,Andheri East,19.1136,72.8697,225,9600,20000,42.66666667,88.88888889
826,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,410,13000,50000,31.70731707,121.9512195
827,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,40000,250000,100,625
828,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,15000,50000,39.47368421,131.5789474
829,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,280,14000,30000,50,107.1428571
830,1 RK, Apartments,"4,Gayatri Nagar,Asha Nagar,Kandivali East",Kandivali East,19.21086,72.86651,350,11000,30000,31.42857143,85.71428571
831,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
832,1 RK, Apartments,Andheri East,Andheri East,19.1154908,72.8726952,225,9500,20000,42.22222222,88.88888889
833,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,350,13000,50000,37.14285714,142.8571429
834,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,40000,250000,100,625
835,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,280,14000,30000,50,107.1428571
836,1 RK, Apartments,Hub mall,Goregaon East,19.15515,72.86786,380,15000,50000,39.47368421,131.5789474
837,1 RK, Apartments,NA,Kandivali East,19.03305,73.02966,350,11000,30000,31.42857143,85.71428571
838,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
839,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,330,13000,40000,39.39393939,121.2121212
840,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,400,40000,150000,100,375
841,1 RK, Apartments,"The Hub Mall, Cama Industrial Estate, Goregaon East",Goregaon East,19.1548,72.85625,380,15000,50000,39.47368421,131.5789474
842,1 RK, Apartments,"Jinal Coop Hsg Society, 90 Feet Road, Gokul Garden VWX, Kandivali East",Kandivali East,19.21138,72.86195,350,11000,30000,31.42857143,85.71428571
843,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,14000,30000,50,107.1428571
844,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
845,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,300,13000,50000,43.33333333,166.6666667
846,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,350,35000,150000,100,428.5714286
847,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,15000,20000,39.47368421,52.63157895
848,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,280,14000,30000,50,107.1428571
849,1 RK, Apartments,Kandivali East,Kandivali East,19.21145,72.87372,350,11000,50000,31.42857143,142.8571429
850,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,350,13000,35000,37.14285714,100
851,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
852,1 RK, Apartments,Worli,Worli,18.9872,72.82905,400,35000,100000,87.5,250
853,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14500,50000,38.15789474,131.5789474
854,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,14000,30000,50,107.1428571
855,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,350,12500,30000,35.71428571,85.71428571
856,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
857,1 RK, Apartments,Grant Road,Grant Road West,18.963,72.81757,400,35000,200000,87.5,500
858,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14500,50000,38.15789474,131.5789474
859,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,14000,30000,50,107.1428571
860,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,330,12500,25000,37.87878788,75.75757576
861,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
862,1 RK, Apartments,Saraf Chaudhary Nagar,Thakur Village,19.21083,72.87474,330,12500,30000,37.87878788,90.90909091
863,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,400,35000,100000,87.5,250
864,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,13500,30000,48.21428571,107.1428571
865,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14500,50000,38.15789474,131.5789474
866,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
867,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,350,35000,100000,100,285.7142857
868,1 RK, Apartments,Saraf Chaudhary Nagar,Kandivali East,19.20824,72.86558,350,12500,30000,35.71428571,85.71428571
869,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14500,40000,38.15789474,105.2631579
870,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,13500,30000,48.21428571,107.1428571
871,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14744,72.89273,340,13000,30000,38.23529412,88.23529412
872,1 RK, Apartments,Worli,Worli,18.9872,72.82905,400,30000,100000,75,250
873,1 RK, Apartments,goregaon e,Goregaon East,19.07598,72.87766,380,14500,50000,38.15789474,131.5789474
874,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,280,13500,30000,48.21428571,107.1428571
875,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14744,72.89273,340,13000,30000,38.23529412,88.23529412
876,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,380,12500,30000,32.89473684,78.94736842
877,1 RK, Apartments,goregaon e,Goregaon East,19.07598,72.87766,360,14000,45000,38.88888889,125
878,1 RK, Apartments,swapnapurti thakur village,Kandivali East,19.03251,73.02705,250,12500,30000,50,120
879,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,280,13500,30000,48.21428571,107.1428571
880,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
881,1 RK, Apartments,"SCN Sports Complex, Mahatma Jyotiba Phule Road, Saraf Chaudhary Nagar",Kandivali East,19.20874,72.86449,350,12500,30000,35.71428571,85.71428571
882,1 RK, Apartments,goregaon [e],Goregaon East,19.08253,72.87087,380,14000,50000,36.84210526,131.5789474
883,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,13500,30000,48.21428571,107.1428571
884,1 RK, Apartments,"Aarey Colony, Goregaon East",Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
885,1 RK, Apartments,goregaon e,Goregaon East,19.07598,72.87766,380,14000,50000,36.84210526,131.5789474
886,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,13500,30000,48.21428571,107.1428571
887,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,260,12500,45000,48.07692308,173.0769231
888,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14744,72.89273,340,13000,30000,38.23529412,88.23529412
889,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,13500,30000,48.21428571,107.1428571
890,1 RK, Apartments,NA,Thakur Village,19.2108,72.8747,225,12500,50000,55.55555556,222.2222222
891,1 RK, Apartments,GOREGAON E,Goregaon East,19.07598,72.87766,380,14000,40000,36.84210526,105.2631579
892,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07611,72.87635,340,13000,30000,38.23529412,88.23529412
893,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,20000,36.84210526,52.63157895
894,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
895,1 RK, Apartments,"Saraf Chaudhary Nagar, Kandivali East",Kandivali East,19.20824,72.86558,350,12500,60000,35.71428571,171.4285714
896,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
897,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
898,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,30000,36.84210526,78.94736842
899,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,330,12400,30000,37.57575758,90.90909091
900,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
901,1 RK, Apartments,GOREGAON E,Goregaon East,19.07598,72.87766,380,14000,50000,36.84210526,131.5789474
902,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
903,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,350,12300,35000,35.14285714,100
904,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
905,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,50000,36.84210526,131.5789474
906,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
907,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,330,12200,25000,36.96969697,75.75757576
908,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
909,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,20000,36.84210526,52.63157895
910,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
911,1 RK, Apartments,Kandivali East,Kandivali East,19.2114533,72.8737217,350,12000,35000,34.28571429,100
912,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
913,1 RK, Apartments,"Saraf Chaudhary Nagar, Kandivali East",Kandivali East,19.20824,72.86558,350,12000,30000,34.28571429,85.71428571
914,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,20000,36.84210526,52.63157895
915,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
916,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
917,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,20000,36.84210526,52.63157895
918,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
919,1 RK, Apartments,"Jinal Coop Hsg Society, 90 Feet Road, Gokul Garden VWX, Kandivali East",Kandivali East,19.21138,72.86195,310,12000,50000,38.70967742,161.2903226
920,1 RK, Apartments,aarey milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
921,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,25000,36.84210526,65.78947368
922,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
923,1 RK, Apartments,"Saraf Chaudhary Nagar, Kandivali East",Kandivali East,19.20824,72.86558,330,12000,30000,36.36363636,90.90909091
924,1 RK, Apartments,aarey  milk,Aarey Milk Colony,19.07598,72.87766,340,13000,30000,38.23529412,88.23529412
925,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13500,30000,48.21428571,107.1428571
926,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,300,14000,25000,46.66666667,83.33333333
927,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14744,72.89273,340,13000,30000,38.23529412,88.23529412
928,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,380,12000,30000,31.57894737,78.94736842
929,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13000,30000,46.42857143,107.1428571
930,1 RK, Apartments,goregaon [e],Goregaon East,19.07598,72.87766,380,14000,25000,36.84210526,65.78947368
931,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Aarey Milk Colony,19.14744,72.89273,340,13000,30000,38.23529412,88.23529412
932,1 RK, Apartments,NA,Kandivali East,19.2115,72.8737,290,12000,30000,41.37931034,103.4482759
933,1 RK, Apartments,"Chandivali, Powai",Chandivali,19.10749,72.90176,280,13000,30000,46.42857143,107.1428571
934,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,14000,50000,36.84210526,131.5789474
