FID,Property_T,Typology,Address,Locality_A,Latitude,longitude,SIZE__sq_f,Rent_INR_,Deposit_IN,RentPSF,DepositPSF
362,1 RK, Apartments,"Chandivali Mhada Colony, MHADA Colony, Chandivali, Powai",Chandivali,19.11134,72.89669,280,15000,35000,53.57142857,125
363,1 RK, Apartments,Ramesh Nagar Amboli Andheri West,Andheri West,19.07598,72.87766,350,18000,75000,51.42857143,214.2857143
364,1 RK, Apartments,"Babulnath, Babulnath, Khareghat Colony, Malabar Hill",Malabar Hill,18.95799,72.80907,450,45000,200000,100,444.4444444
365,1 RK, Apartments,Bandra West,Bandra West,19.06069,72.83625,400,32000,100000,80,250
366,1 RK, Apartments,"Thakur Complex, Kandivali East",Kandivali East,19.20954,72.86411,350,13000,30000,37.14285714,85.71428571
367,1 RK, Apartments,"Chandivali Road, MHADA Colony, Chandivali, Powai",Chandivali,19.11276,72.89761,290,17000,40000,58.62068966,137.9310345
368,1 RK, Apartments,Goregaon East,Aarey Milk Colony,19.15515,72.86786,344,16000,40000,46.51162791,116.2790698
369,1 RK, Apartments,"4-101,MMRDA Colony,Poonam Nagar,Jogeshwari East",Andheri East,19.13751,72.86826,300,15000,30000,50,100
370,1 RK, Apartments,"Shankheshwar Nagar Phase 3 Road, Nandivali Panchanand, Dombivli East, Dombivli",Dombivali East,19.20572,73.09553,525,4000,25000,7.619047619,47.61904762
371,1 RK, Apartments,Malad West,Malad West,19.18275,72.84016,350,12000,50000,34.28571429,142.8571429
372,1 RK, Apartments,"Orbit Eternia, NM Joshi Marg, Saidham Nagar, Lower Parel",Lower Parel West,19.00598,72.8311,390,22000,50000,56.41025641,128.2051282
373,1 RK, Apartments,"Royal Palms Road, Royal Palms Estate, Aarey Colony, Goregaon East",Goregaon East,19.14751,72.893,340,13000,30000,38.23529412,88.23529412
374,1 RK, Apartments,Colaba,Colaba,18.9067,72.81471,300,50000,100000,166.6666667,333.3333333
375,1 RK, Apartments,"Virar East, Virar",Virar East,19.4609,72.81815,360,3800,20000,10.55555556,55.55555556
376,1 RK, Apartments,"Chembur Naka, Chembur East",Chembur East,19.04399,72.91025,400,17000,100000,42.5,250
377,1 RK, Apartments,NA,Chandivali,19.07598,72.87766,400,20000,70000,50,175
378,1 RK, Apartments,Andheri East,Andheri East,19.11549,72.8727,350,23000,50000,65.71428571,142.8571429
379,1 RK, Apartments,hiranandani,Powai,19.11968,72.90508,600,13000,50000,21.66666667,83.33333333
380,1 RK, Apartments,Goregaon East,Goregaon East,19.15515,72.86786,380,15000,50000,39.47368421,131.5789474
381,1 RK, Apartments,Bandra West,Bandra West,19.06069,72.83625,225,35000,100000,155.5555556,444.4444444
